VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-15 22:23:02,2015-01-15 22:28:57,1,1.22,-73.979568481445313,40.760162353515625,1,N,-73.980018615722656,40.772998809814453,1,6.5,0.5,0.5,1.4,0,0.3,9.2
2,2015-01-15 22:23:02,2015-01-15 22:28:31,1,.79,-73.981285095214844,40.769031524658203,1,N,-73.977447509765625,40.764511108398438,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2015-01-15 22:23:02,2015-01-15 22:28:31,1,.79,-73.981285095214844,40.769031524658203,1,N,-73.977447509765625,40.764511108398438,2,-5.5,-0.5,-0.5,0,0,0.3,-6.8
1,2015-01-15 22:24:07,2015-01-15 22:28:13,1,.60,-73.985618591308594,40.763683319091797,1,N,-73.975959777832031,40.760955810546875,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2015-01-15 22:19:38,2015-01-15 22:28:51,1,1.85,-73.974205017089844,40.753391265869141,1,N,-73.979591369628906,40.733116149902344,2,9,0.5,0.5,0,0,0.3,10.3
2,2015-01-15 22:19:39,2015-01-15 22:28:59,5,1.81,-74.007881164550781,40.715118408203125,1,N,-74.002288818359375,40.729461669921875,1,8.5,0.5,0.5,1.8,0,0.3,11.6
2,2015-01-15 22:21:40,2015-01-15 22:28:58,6,1.79,-74.007766723632813,40.740493774414062,1,N,-74.003395080566406,40.719783782958984,1,7.5,0.5,0.5,1.6,0,0.3,10.4
2,2015-01-15 22:21:40,2015-01-15 22:28:10,1,1.07,-73.980598449707031,40.764713287353516,1,N,-73.989898681640625,40.751728057861328,1,6.5,0.5,0.5,1.75,0,0.3,9.55
2,2015-01-15 22:23:05,2015-01-15 22:28:03,1,1.63,-73.978843688964844,40.778366088867188,1,N,-73.967796325683594,40.797462463378906,1,6.5,0.5,0.5,2.1,0,0.3,9.9
2,2015-01-15 22:23:09,2015-01-15 22:28:59,1,1.03,-74.002433776855469,40.718769073486328,1,N,-73.995002746582031,40.719791412353516,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-01-15 22:24:12,2015-01-15 22:28:46,1,.70,-73.999801635742187,40.738288879394531,1,N,-73.997016906738281,40.745368957519531,1,5,0.5,0.5,1,0,0.3,7.3
1,2015-01-15 22:24:14,2015-01-15 22:28:18,1,.70,-73.976783752441406,40.733684539794922,1,N,-73.974716186523438,40.741783142089844,1,5,0.5,0.5,0.5,0,0.3,6.8
2,2015-01-15 22:21:44,2015-01-15 22:28:19,2,1.40,-73.98638916015625,40.743576049804688,1,N,-74.002273559570312,40.734638214111328,1,7,0.5,0.5,1.5,0,0.3,9.8
2,2015-01-15 22:21:44,2015-01-15 22:28:24,1,1.45,-73.981277465820313,40.77264404296875,1,N,-73.976104736328125,40.785663604736328,2,7,0.5,0.5,0,0,0.3,8.3
2,2015-01-15 22:21:45,2015-01-15 22:28:06,1,1.26,-73.980018615722656,40.754066467285156,1,N,-73.978485107421875,40.741340637207031,1,6.5,0.5,0.5,1.4,0,0.3,9.2
2,2015-01-15 22:23:11,2015-01-15 22:28:47,3,1.15,-73.988777160644531,40.745128631591797,1,N,-73.973548889160156,40.743431091308594,1,6,0.5,0.5,1.3,0,0.3,8.6
1,2015-01-15 22:24:18,2015-01-15 22:28:08,2,.60,-73.984596252441406,40.742626190185547,1,N,-73.977157592773438,40.745441436767578,1,4.5,0.5,0.5,1.15,0,0.3,6.95
1,2015-01-15 22:24:20,2015-01-15 22:28:28,2,.70,-73.975639343261719,40.749217987060547,1,N,-73.967750549316406,40.753654479980469,1,5,0.5,0.5,0.95,0,0.3,7.25
